UserID,Name,Age
1000,Customer 1000,56
1001,Customer 1001,69
1002,Customer 1002,46
1003,Customer 1003,32
1004,Customer 1004,60
1005,Customer 1005,25
1006,Customer 1006,78
1007,Customer 1007,38
1008,Customer 1008,56
1009,Customer 1009,75
1010,Customer 1010,36
1011,Customer 1011,40
1012,Customer 1012,28
1013,Customer 1013,28
1014,Customer 1014,41
1015,Customer 1015,70
1016,Customer 1016,53
1017,Customer 1017,57
1018,Customer 1018,41
1019,Customer 1019,20
1020,Customer 1020,39
1021,Customer 1021,70
1022,Customer 1022,19
1023,Customer 1023,41
1024,Customer 1024,61
1025,Customer 1025,47
1026,Customer 1026,55
1027,Customer 1027,19
1028,Customer 1028,77
1029,Customer 1029,38
1030,Customer 1030,50
1031,Customer 1031,29
1032,Customer 1032,75
1033,Customer 1033,39
1034,Customer 1034,78
1035,Customer 1035,61
1036,Customer 1036,42
1037,Customer 1037,66
1038,Customer 1038,44
1039,Customer 1039,76
1040,Customer 1040,59
1041,Customer 1041,45
1042,Customer 1042,77
1043,Customer 1043,33
1044,Customer 1044,32
1045,Customer 1045,79
1046,Customer 1046,79
1047,Customer 1047,64
1048,Customer 1048,79
1049,Customer 1049,68
1050,Customer 1050,61
1051,Customer 1051,72
1052,Customer 1052,69
1053,Customer 1053,74
1054,Customer 1054,20
1055,Customer 1055,54
1056,Customer 1056,68
1057,Customer 1057,24
1058,Customer 1058,38
1059,Customer 1059,26
1060,Customer 1060,56
1061,Customer 1061,35
1062,Customer 1062,21
1063,Customer 1063,42
1064,Customer 1064,77
1065,Customer 1065,31
1066,Customer 1066,67
1067,Customer 1067,75
1068,Customer 1068,26
1069,Customer 1069,43
1070,Customer 1070,70
1071,Customer 1071,19
1072,Customer 1072,37
1073,Customer 1073,45
1074,Customer 1074,64
1075,Customer 1075,77
1076,Customer 1076,24
1077,Customer 1077,61
1078,Customer 1078,78
1079,Customer 1079,25
1080,Customer 1080,64
1081,Customer 1081,52
1082,Customer 1082,31
1083,Customer 1083,34
1084,Customer 1084,53
1085,Customer 1085,67
1086,Customer 1086,57
1087,Customer 1087,21
1088,Customer 1088,19
1089,Customer 1089,79
1090,Customer 1090,23
1091,Customer 1091,71
1092,Customer 1092,59
1093,Customer 1093,21
1094,Customer 1094,71
1095,Customer 1095,46
1096,Customer 1096,35
1097,Customer 1097,43
1098,Customer 1098,61
1099,Customer 1099,51
